est_address,employees,¿en su empresa o comercio cuentan con colaboradoras mujeres?,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries
Cr 47 50 75,4,Sí,2.0,0.5,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle Servicio de venta lentes ,Servicios de salud Servicio de venta lentes ,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Jueves",2,"08:00 a 09:00, 09:00 a 10:00",En vehículo particular,5,5,No se requiere lis paquetes vson pequeños sebtraen a mano ,Motocicleta,5,Motocicleta,5
Cl 51 47 33,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Elementos misceláneos,articulos para el hogar,No,0.0,,,,,,,"Martes, Miércoles",2,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En motocicleta,5,5,Na,No se realizan domicilios,0,Na,0
Kr 52 # 53 63,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Compraventa de artículos ,compraventa,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00",En motocicleta,5,5,Ningún ,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 53 54 96,3,No,,0.0,,,,,,,Proveedor Ferretería,Venta de materiales de construcción Ferretería,materiales de construccion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En vehículo particular,5,5,,Na,0,Na,0
Calle 51 # 53 59,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Venta al detalle Venta de calzado,Elementos misceláneos Venta de calzado,articulos para el hogar,Interno,1.0,1.0,16.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Miércoles, Viernes",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00","En carreta ""zorrilla""",4,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 51 # 53 87,3,No,,0.0,,,,,,,Venta al detalle Cigarrería Supermercados,Confitería Cigarrería Supermercados,"cacao, chocolate y confiteria",Interno,1.0,1.0,40.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",5,5,Carretilla,"Carreta ""zorrilla""",4,No se realizan ventas por internet,0
Cr 48 50 56,8,Sí,7.0,0.875,0.0,0.0,7.0,1.0,"Madres cabeza de familia, Mujeres pertenecientes a grupos étnicos",Sí,Proveedor ocio,Bares ocio,bares y ocio,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, en vías aledañas",5,5,,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 53 45 66,5,Sí,2.0,0.4,1.0,0.5,1.0,0.5,Madres cabeza de familia,Sí,Proveedor,Maletas,moda y textiles,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,09:00 a 10:00,"En camión, se descarga internamente",5,2,Carretilla,"Caminata, Motocicleta",4,"Caminata, Carreta ""zorrilla""",4
Cra 52# 44- 15,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Merxancia,mecanica,Interno,1.0,1.0,35.0,3.0,Sí,Medellín,Recepción de mercancías,"Martes, Jueves",1 vez por semana,"14:00 a 15:00, 15:00 a 16:00","En camión, en vías aledañas, En carreta ""zorrilla""",4,1,Carretilla,No se realizan domicilios,0,Motocicleta,100
Cra 52# 44- 102,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Tecnologia - accesorios ,electronica,No,0.0,,,,,,,"Lunes, Martes, Miércoles",3,"11:00 a 12:00, 12:00 a 13:00, 15:00 a 16:00, 22:00 a 23:00","En motocicleta, En carreta ""zorrilla""",4,4,Carretilla,Motocicleta,3,Motocicleta,3
Cra 52A# 46- 35,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Mercancia Ropa en general ,moda y textiles,"Externo, alquilado",1.0,5.0,40.0,2.5,Sí,Medellín,Recepción de mercancías,"Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 10:00 a 11:00","En carreta ""zorrilla""",2,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cr 47 # 54-61,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de lentes con formula médica.,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"10:00 a 11:00, 13:00 a 14:00, 15:00 a 16:00, 17:00 a 18:00","En motocicleta, En bicicleta, En vehículo particular",4,4,Caminando,Motocicleta,2,No se realizan ventas por internet,0
Cra 47# 54- 71,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ventas de lentes por formula médica,productos medicos y de salud,No,0.0,,,,,,,"Martes, Jueves, Viernes",4,"10:00 a 11:00, 13:00 a 14:00, 15:00 a 16:00",En motocicleta,3,3,Caminando,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 47# 54- 67,1,Sí,1.0,1.0,0.0,0.0,0.0,0.0,Madres cabeza de familia,Sí,Venta al detalle,Ventas de lentes con formula médica,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves",4,"10:00 a 11:00, 12:00 a 13:00, 16:00 a 17:00",En bicicleta,3,3,Caminando,No se realizan domicilios,0,Motocicleta,2
Cra 47 59 27,4,Sí,2.0,0.5,0.0,0.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Gafas,Servicios de salud Gafas,productos medicos y de salud,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En vehículo particular,5,5,Na,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl50 4714,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Restaurante,restauracion,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"07:00 a 08:00, 08:00 a 09:00","En carreta ""zorrilla""",5,5,Carretilla entra,Caminata,10,Caminata,10
Cl 49 #53 63 Local 118,2,Sí,2.0,1.0,0.0,0.0,1.0,0.5,Madres cabeza de familia,Sí,Venta al detalle,Confección y moda,moda y textiles,Interno,1.0,1.0,2.0,2.0,Sí,Medellín,Recepción de mercancías,Martes,La periodicidad es quincenal,09:00 a 10:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa, En vehículo particular",5,4,Rampa fija,"Caminata, Motocicleta",2,Motocicleta,3
Cl 49 #53 63 Local 114,3,Sí,2.0,0.6666666666666666,0.0,0.0,1.0,0.5,Madres cabeza de familia,Sí,Venta al detalle,Confección y moda,moda y textiles,"Externo, alquilado",1.0,2.0,4.0,3.0,Sí,Medellín,Recepción de mercancías,Jueves,La periodicidad es quincenal,"09:00 a 10:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,3,Elevador,Motocicleta,2,Motocicleta,1
Cl 48 #52A 30,2,No,,0.0,,,,,,,Venta al detalle,Confección y moda,moda y textiles,No,,,,,,,,Miércoles,La periodicidad es mensual,09:00 a 10:00,En vehículo particular,4,3,Rampa fija,Motocicleta,3,Motocicleta,2
Calle 45 # 54- 15,4,Sí,3.0,0.75,0.0,0.0,3.0,1.0,Madres cabeza de familia,Sí,Proveedor,Piñateria y jugueteria,jugueteria y elementos deportivos,Interno,1.0,2.0,196.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, sobre la vía, En carreta ""zorrilla""",4,2,Carretilla,Motocicleta,5,Motocicleta,6
Cll 45# 55- 21,6,Sí,3.0,0.5,0.0,0.0,3.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Proveedor,Productos de hogar,articulos para el hogar,"Externo, alquilado",1.0,1.0,120.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"18:00 a 19:00, 19:00 a 20:00, 20:00 a 21:00","En camión, sobre la vía",4,1,Rampa fija,No se realizan domicilios,0,No se realizan ventas por internet,0
Cll 50 # 56- 12,5,Sí,1.0,0.2,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Venta de material electrico,ferreteria,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"11:00 a 12:00, 13:00 a 14:00, 15:00 a 16:00","En camión, sobre la vía",3,1,Carretilla,Motocicleta,15,Motocicleta,5
Cll 50 # 56- 20,10,Sí,1.0,0.1,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,FabricanteMercancia de ropa ,Estructuras MetálicasMercancia de ropa ,moda y textiles,"Externo, alquilado",1.0,1.0,102.0,3.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, sobre la vía, En carreta ""zorrilla""",4,1,"Carretilla, Rampa fija","Vehículo particular, Furgón",3,"Vehículo particular, Furgón",5
Cll 52 # 54- 21,9,Sí,1.0,0.1111111111111111,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Fabricante,Muebleria,articulos para el hogar,Interno,1.0,4.0,54.0,3.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 10:00 a 11:00, 13:00 a 14:00, 15:00 a 16:00","En carreta ""zorrilla""",5,1,Carretilla,"Vehículo particular, Furgón",10,No se realizan ventas por internet,0
Cra 50 # 53- 01 local 101,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Accesorios de celulares,electronica,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"09:00 a 10:00, 12:00 a 13:00, 16:00 a 17:00",En bicicleta,4,1,Caminando,Motocicleta,2,Motocicleta,3
Cra 50 # 53 - 76,5,Sí,4.0,0.8,0.0,0.0,3.0,0.75,Madres cabeza de familia,No,Venta al detalle,Panaderia,productos alimenticios,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 14:00 a 15:00",En vehículo particular,3,1,Cajas,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 50a# 53- 02,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Panaderia,productos alimenticios,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"08:00 a 09:00, 09:00 a 10:00, 13:00 a 14:00, 14:00 a 15:00","En camión, sobre la vía, En carreta ""zorrilla""",4,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 54 # 53- 02,3,Sí,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,Madres cabeza de familia,Sí,Venta al detalle,Salsamentaria- cantina y abarrotes,productos alimenticios,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",2,"09:00 a 10:00, 11:00 a 12:00, 12:00 a 13:00, 15:00 a 16:00","En carreta ""zorrilla""",4,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 53 49 144,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En motocicleta, En carreta ""zorrilla"",En vehículo particular",5,3,ninguno,Motocicleta,2,Motocicleta,2
CL 46 51 - 31,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",Sí,Venta al detalle,Confección y moda,moda y textiles,Interno,1.0,1.0,5.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00","En motocicleta, En carreta ""zorrilla"",En vehículo particular",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 46 53 - 40,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,RELOJERIA,joyas,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En motocicleta, En carreta ""zorrilla"",En vehículo particular",1,1,NINGUNO,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 40 20 e0,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Migrantes,No,Venta al detalle,"Mensajería, correos, ventas en línea",mensajeria,"Externo, compartido con otros comercios",1.0,1.0,1.0,1.0,No,Medellín,Recepción de mercancías,Jueves,4,11:00 a 12:00,"En camión, en vías aledañas",5,5,Rampa fija,Furgón,12,Caminata,12
Cl 48 50A 07,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Migrantes",No,Venta al detalle,CREDITOS,servicios financieros,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En motocicleta,En vehículo particular",1,1,NINGUNO,NINGUNO,0,NINGUNO,0
Cl 48 53 63,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Confección y moda,moda y textiles,Interno,1.0,1.0,5.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En motocicleta, En carreta ""zorrilla"",En vehículo particular",4,2,Carretilla,Motocicleta,2,Motocicleta,4
Cl 49 51 57,9,Sí,5.0,0.5555555555555556,0.0,0.0,5.0,1.0,Madres cabeza de familia,No,Venta al detalle,Papelería,papeleria,"Externo, propio",1.0,4.0,10.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En camión, sobre la vía, En carreta ""zorrilla""",3,1,Carretilla,"Motocicleta, Vehículo particular",2,"Motocicleta, Vehículo particular, Van",2
Cl 49 53 101,26,Sí,16.0,0.6153846153846154,0.0,0.0,10.0,0.625,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,"Confección y moda, Textiles",moda y textiles,"Externo, alquilado",1.0,1.0,250.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, sobre el andén",5,1,"Carretilla, Elevador","Van, Furgón, Carreta ""zorrilla""",4,"Motocicleta, Van, Furgón, Carreta ""zorrilla""",4
Calle 49 56 48,9,Sí,3.0,0.3333333333333333,0.0,0.0,3.0,1.0,Ninguna de las anteriores,No,Proveedor,Textiles,moda y textiles,Interno,2.0,1.0,30.0,6.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía",5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cll 53 #49-139,3,Sí,2.0,0.6666666666666666,1.0,0.5,1.0,0.5,Ninguna de las anteriores,Sí,Venta al detalle,Tecnología ,electronica,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",3,2,Carretilla,Motocicleta,3,Motocicleta,3
Cl 53 # 49 35,2,Sí,2.0,1.0,1.0,0.5,2.0,1.0,"Madres cabeza de familia, Migrantes",No,Venta al detalle,Tecnología ,electronica,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",1 vez por semana,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00",En vehículo particular,5,2,No aplica,Motocicleta,1,Motocicleta,1
Cl 53 # 49 56,5,Sí,3.0,0.6,0.0,0.0,0.0,0.0,"Madres cabeza de familia, Migrantes",No,Proveedor,Tecnología ,electronica,Interno,1.0,1.0,18.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En motocicleta, En carreta ""zorrilla"",En vehículo particular",5,1,Carretilla,"Caminata, Vehículo particular, Carreta ""zorrilla"", Transportadora",10,"Caminata, Motocicleta, Vehículo particular, Transportadora",10
Calle 50 51 06,12,Sí,11.0,0.9166666666666666,0.0,0.0,11.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",No,Venta al detalle,Perfumería,cosmeticos y productos de belleza,Interno,1.0,2.0,20.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, sobre la vía, En motocicleta, En carreta ""zorrilla""",1,1,Rampa fija,Motocicleta,3,No se realizan ventas por internet,0
Calle 53 49 -136,7,Sí,4.0,0.5714285714285714,0.0,0.0,4.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Accesorios para celular ,electronica,No,,,,,,,,Lunes,La periodicidad es quincenal,09:00 a 10:00,"En camión, estacionado en zona bahía y la ingresa la empresa transportadora",3,2,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,0
Cl 53 # 49 39,4,Sí,3.0,0.75,0.0,0.0,0.0,0.0,Mujeres pertenecientes a grupos étnicos,Sí,Venta al detalle,Tecnologia,electronica,Interno,1.0,2.0,4.0,1.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",5,10:00 a 11:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa,En vehículo particular",5,1,Carretilla,"Motocicleta, Trasnportadora",2,"Motocicleta, Trnasportadora",0
Kr 59 52 100,12,Sí,7.0,0.5833333333333334,0.0,0.0,0.0,0.0,"Madres cabeza de familia, Migrantes",No,Venta al detalle,Tecnología ,electronica,"Externo, alquilado",1.0,3.0,16.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",2,2,Carretilla,"Motocicleta, Transportadoras ",10,"Motocicleta, Transportadoras ",10
Calle 53 49 48,6,Sí,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Proveedor,Tecnología ,electronica,Interno,1.0,1.0,1.0,1.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",5,1,Carretilla,Motocicleta,2,No se realizan ventas por internet,0
Calle 53 49 49,8,Sí,2.0,0.25,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",No,Proveedor,Tecnología ,electronica,"Externo, alquilado",2.0,3.0,3.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía, En camión, sobre el andén, En camión, en vías aledañas, En motocicleta, En carreta ""zorrilla"",En vehículo particular",1,1,Carretilla,"Motocicleta, Vehículo particular",8,No se realizan ventas por internet,0
Kr 50 52 146,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,"Elementos misceláneos, Papelería",papeleria,"Externo, alquilado",1.0,-1.0,9.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En motocicleta, En carreta ""zorrilla""",2,2,No aplica,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 53 49 75,8,Sí,5.0,0.625,0.0,0.0,2.0,0.4,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Tecnología ,electronica,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",1,1,Ninguno,Caminata,10,No se realizan ventas por internet,0
Calle 53 49 85,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Migrantes,Sí,Venta al detalle,Accesorios de tecnología ,electronica,No,,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En carreta ""zorrilla""",2,1,Rampa fija,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 45 # 51 61,60,Sí,14.0,0.23333333333333334,7.0,0.5,7.0,0.5,"Madres cabeza de familia, Migrantes",Sí,Proveedor,"Electrodomésticos y hogar, Elementos misceláneos, Venta de productos de belleza",electrodomesticos,"Externo, alquilado",1.0,2.0,450.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, sobre el andén, En camión, en vías aledañas, En camión, estacionado en parqueadero propiedad de un tercero, En carreta ""zorrilla""",5,2,Carretilla,"Motocicleta, Vehículo particular",5,No se realizan ventas por internet,0
Carrera 51 45 53,7,Sí,4.0,0.5714285714285714,0.0,0.0,4.0,1.0,Madres cabeza de familia,No,Proveedor,Sombreros,moda y textiles,Interno,2.0,1.0,150.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00",En vehículo particular,4,1,Ninguno,Motocicleta,2,No se realizan ventas por internet,0
"Carrera 51 49 59, Medellín, Antioquia, Colombia",8,Sí,3.0,0.375,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Proveedor,piñateria,jugueteria y elementos deportivos,Interno,2.0,2.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00","En camión, sobre la vía, En camión, en vías aledañas",4,1,ninguno,"Caminata, Motocicleta",3,Motocicleta,4
Cl 48 53 84 local 115,3,Sí,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,"Externo, alquilado",1.0,2.0,15.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",1,1,Carretilla,Transportadoras ,1,"Motocicleta, Transportadoras ",1
